happiness_score,gdp,family,health,freedom,generosity,corruption,region,year,country,social_wellbeing,positive_factors
6.269,1.09686,0.77866,0.50933,0.52234,0.16665,0.12692,Latin America and Caribbean,2016,Suriname,1.28799,1.65893
6.239,1.61714,0.87758,0.63569,0.43166,0.15965,0.23669,Middle East and Northern Africa,2016,Kuwait,1.51327,1.97176
6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772,Middle East and Northern Africa,2016,Bahrain,1.60093,1.8277400000000004
6.168,1.32572,0.98569,0.52608,0.48453,0.31935,0.01241,Latin America and Caribbean,2016,Trinidad and Tobago,1.5117699999999998,2.11719
6.084,1.13367,1.03302,0.61904,0.19847,0.0425,0.08304,Latin America and Caribbean,2016,Venezuela,1.65206,1.2915999999999999
6.078,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947,Central and Eastern Europe,2016,Slovakia,1.78635,1.62254
6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,Latin America and Caribbean,2016,El Salvador,1.4057499999999998,1.22903
6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081,Southeastern Asia,2016,Malaysia,1.5039099999999999,1.96566
5.992,0.69384,0.89521,0.65213,0.46582,0.29773,0.16292,Latin America and Caribbean,2016,Nicaragua,1.54734,1.2944700000000002
5.987,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333,Central and Eastern Europe,2016,Uzbekistan,1.66973,1.40432
5.977,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556,Western Europe,2016,Italy,1.89269,1.6844999999999999
5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,Latin America and Caribbean,2016,Ecuador,1.5458699999999999,1.2961300000000002
